   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:18 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 15:53:18 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: X正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:18 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: X正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:18 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: Y正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:18 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: V正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:18 , Normal] -> 水平轴向归零成功 
 [2019/9/9 15:53:18 , Normal] -> 所有坐标清零成功 
 [2019/9/9 15:53:27 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: Z正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:27 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: X正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:27 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: X正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:33 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: Z正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:33 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: X正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:33 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: X正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:57 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 15:53:57 , Normal] -> 设置轴向归零参数 
 [2019/9/9 15:53:57 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: Z正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:57 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: Z正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
