[2019/10/21 12:58:21 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: 错误信息:错误Cannot_be_connected : 无法连接
, 错误编码:8 , 错误函数:LinkDevice, 错误轴向:总控制
   在 Device_Link_LTSMC.Device_Net_LSTMC.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.Device_Net_LSTMC.LinkDevice()
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 185 
 [2019/10/21 12:58:21 , Normal] -> 启动服务器成功 
 [2019/10/21 12:58:21 , Normal] -> 连接错误System.ArgumentNullException: 值不能为 null。
参数名: PortName
   在 System.IO.Ports.SerialPort.set_PortName(String value)
   在 ControlLib.ControlCom.Open() 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\ControlLib\ControlCom.cs:行号 93
   在 TaskOption.TaskFormat.Link(String ip, Int32 port) 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\TaskOption\TaskFormat.cs:行号 204 
 [2019/10/21 12:58:26 , Waring] -> 读取坐标信息异常 
 [2019/10/21 12:58:26 , Erro] -> System.InvalidOperationException: 在创建窗口句柄之前，不能在控件上调用 Invoke 或 BeginInvoke。
   在 System.Windows.Forms.Control.MarshaledInvoke(Control caller, Delegate method, Object[] args, Boolean synchronous)
   在 System.Windows.Forms.Control.BeginInvoke(Delegate method, Object[] args)
   在 RZ_AutoGemaControl.GameConsole.<>c__DisplayClass49_0.<GetCoordinates>b__0() 
 [2019/10/21 13:15:06 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:07 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:07 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:07 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:07 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:08 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:08 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:10 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:10 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:13 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:13 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:14 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:14 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:15 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:15 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:16 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:16 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:16 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:16 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:17 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:17 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:25 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:25 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:26 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:26 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:26 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:26 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:27 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:27 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:27 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:27 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:27 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:27 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:30 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:30 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:31 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:31 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:32 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:32 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:32 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:32 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:33 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:15:33 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:15:33 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:15:33 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:33 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:34 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:15:34 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:15:34 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:15:34 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:34 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:35 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:15:35 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:15:35 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:15:35 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:15:35 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:15:36 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:15:36 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:36 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:36 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:36 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:37 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:37 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:37 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:37 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:39 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:15:39 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:15:39 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:15:40 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:15:40 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:15:40 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:15:43 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:43 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:44 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:44 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:44 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:44 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:45 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:45 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:45 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:45 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:46 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:46 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:47 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:47 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:47 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:47 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:48 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:48 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:49 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:49 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:50 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:50 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:50 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:50 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:51 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:51 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:52 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:52 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:52 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:52 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:53 , Normal] -> 正在移动{0}轴U 
